annee,mois,taux_annuel_pct,taux_mensuel_pct,source
2021,1,1.6,0.102,Banque de France
2021,2,1.6,0.061,Banque de France
2021,3,1.6,0.239,Banque de France
2021,4,1.6,0.067,Banque de France
2021,5,1.6,0.155,Banque de France
2021,6,1.6,0.07,Banque de France
2021,7,1.6,0.156,Banque de France
2021,8,1.6,0.167,Banque de France
2021,9,1.6,0.042,Banque de France
2021,10,1.6,0.124,Banque de France
2021,11,1.6,0.071,Banque de France
2021,12,1.6,0.194,Banque de France
2022,1,5.2,0.443,Banque de France
2022,2,5.2,0.454,Banque de France
2022,3,5.2,0.51,Banque de France
2022,4,5.2,0.428,Banque de France
2022,5,5.2,0.445,Banque de France
2022,6,5.2,0.444,Banque de France
2022,7,5.2,0.405,Banque de France
2022,8,5.2,0.389,Banque de France
2022,9,5.2,0.422,Banque de France
2022,10,5.2,0.375,Banque de France
2022,11,5.2,0.326,Banque de France
2022,12,5.2,0.413,Banque de France
2023,1,4.9,0.432,Banque de France
2023,2,4.9,0.44,Banque de France
2023,3,4.9,0.322,Banque de France
2023,4,4.9,0.451,Banque de France
2023,5,4.9,0.401,Banque de France
2023,6,4.9,0.365,Banque de France
2023,7,4.9,0.4,Banque de France
2023,8,4.9,0.399,Banque de France
2023,9,4.9,0.395,Banque de France
2023,10,4.9,0.441,Banque de France
2023,11,4.9,0.414,Banque de France
2023,12,4.9,0.383,Banque de France
2024,1,2.3,0.248,Banque de France
2024,2,2.3,0.179,Banque de France
2024,3,2.3,0.157,Banque de France
2024,4,2.3,0.069,Banque de France
2024,5,2.3,0.272,Banque de France
2024,6,2.3,0.304,Banque de France
2024,7,2.3,0.198,Banque de France
2024,8,2.3,0.128,Banque de France
2024,9,2.3,0.108,Banque de France
2024,10,2.3,0.123,Banque de France
2024,11,2.3,0.104,Banque de France
2024,12,2.3,0.167,Banque de France
